SEKVENS	KODE	NIVEAU	TITEL	GENERELLE_NOTER	INKLUDERER	INKLUDERER_OGSÅ	EKSKLUDERER	PARAGRAF	MÅLEENHED
5576	5968	5	Erhvervsøkonomi-erhvervssprog, kinesisk, cand.negot.						
5577	5969	5	Erhvervsøk.-erhv.spr., internat. turisme-fritidsman., cand.negot.						
5578	7059	2	Teknisk videnskab, LVU						
5579	705910	3	Teknisk videnskab uden nærmere angivelse, LVU						
5580	70591010	4	Teknisk videnskab uden nærmere angivelse, LVU						
5581	175	5	Teknisk una - udvekslingstud. (lang vidg.)						
5582	659	5	Teknisk, ivu (lvu)						
5583	3113	5	Værdikæder og innovationsledelse, cand.scient.tech.						
5584	3123	5	Produktion, cand.scient.tech.						
5585	3168	5	Cyber Security, cand.polyt.						
5586	3330	5	Teknisk, cand.scient.tech.						
5587	5360	5	Civilingeniør una						
5588	5393	5	Proces-teknik, civilingeniør						
5589	5394	5	Driftsteknik, civilingeniør						
5590	6081	5	Teknisk kombination, gymnasial overbygning						
5591	6082	5	Teknisk kombination, kand.						
5592	6395	5	Teknisk, supplering						
5593	8321	5	Urbant design, cand.scient.tech.						
5594	8323	5	Industrielt design, cand.scient.tech.						
5595	8325	5	Arkitektur, cand.scient.tech.						
5596	8340	5	Teknisk una, cand.scient.						
5597	8997	5	Teknisk videnskab fleksibel, master						
5598	705915	3	Bioteknologi og kemisk teknologi, LVU						
5599	70591510	4	Bioteknologi, LVU						
5600	3000	5	Bioteknologi, cand.polyt.						
5601	3050	5	Biosystemteknologi, cand.scient.tech.						
5602	3051	5	Bioteknologi, master						
5603	3060	5	Systembiologi, cand.scient.tech.						
5604	3344	5	Biosystemteknologi, cand.polyt.						
5605	8046	5	Bioengineering, cand.polyt.						
5606	8270	5	Bioteknologi, cand.scient.						
5607	8333	5	Bioteknologi, civilingeniør cand.polyt.						
5608	8346	5	Bæredygtig bioteknologi, cand.polyt.						
5609	8351	5	Biosystemteknologi, cand.polyt.						
5610	8371	5	Medicinsk bioteknologi, cand.polyt.						
5611	8899	5	Bioteknologi, master						
5612	70591515	4	Kemi og bioteknologi, LVU						
5613	5245	5	Kemi og bioteknologi, cand.scient.tech.						
5614	5273	5	Kemi og bioteknologi, cand.polyt.						
5615	70591520	4	Kemisk og biokemisk teknologi, LVU						
5616	3057	5	Kemi, miljø og bioteknologi, cand.scient.tech.						
5617	3125	5	By-, energi- og miljøplanlægning, cand.polyt.						
5618	3131	5	Environmental studies, kand.						
5619	3132	5	Fødevareteknologi, cand.scient.tech.						
5620	3140	5	Anvendt kemi, cand.polyt.						
5621	3345	5	Fødevareteknologi, cand.polyt.						
5622	5240	5	Kemiteknik, cand.polyt.						
