UDD,TEXT,UDD_UDDANNELSESNIVEAU,UDD_FAGOMRAADE_UNDER,UDD_UDDANNELSESTYPE_UNDER,UDD_ISCED_P,UDD_ISCED_F,OMR,MINI,PRIO,TP,L,UDD_HOVEDOMRAADE_DETALJERET,NRMA,AKTIV,AUDD,ATEXT,AUDD_UDDANNELSESNIVEAU,AUDD_FAGOMRAADE_UNDER,AUDD_UDDANNELSESTYPE_UNDER,AUDD_ISCED_P,AUDD_ISCED_F,PRIA,KOMP,AUDD_HOVEDOMRAADE_DETALJERET,UNDERVISNINGSSPROG
4088,"Crafts in Glass and Ceramics, prof.bach.",60,303515,5510,655,0214,4,10,156,1,1,50305010,42,1,4088,"Crafts in Glass and Ceramics, prof.bach.",60,303515,5510,655,0214,198,3,50305010,Engelsk
4089,Byggekoordinator,50,402510,4010,554,0413,4,10,156,1,1,40581515,24,1,4089,Byggekoordinator,50,402510,4010,554,0413,180,3,40581515,Dansk
4090,Vildtforvalter,50,603010,4510,554,0821,4,1,170,1,1,40801010,8,1,4090,Vildtforvalter,50,603010,4510,554,0821,178,3,40801010,Dansk
4091,Trætekniker,50,555040,4010,554,0722,4,10,168,1,1,40585020,18,0,4091,Trætekniker,50,555040,4010,554,0722,186,3,40585020,Dansk
4092,Kort- og landmålingstekniker,50,582045,4010,554,0732,4,10,156,1,1,40581515,24,1,4092,Kort- og landmålingstekniker,50,582045,4010,554,0732,180,3,40581515,Dansk
4093,"Skov- og landskabsingeniør, prof.bach.",60,603010,5510,655,0821,4,10,144,2,1,50804510,48,1,4093,"Skov- og landskabsingeniør, prof.bach.",60,603010,5510,655,0821,192,3,50804510,Dansk
4094,Herregårdsskytte,30,603010,3090,353,0821,3,1,132,2,1,30252515,7,1,4094,Herregårdsskytte,30,603010,3090,353,0821,139,3,30252515,Dansk
4095,"Konfektionsassistent, tekstil",30,555065,3020,353,0723,3,1,132,2,2,30557010,24,0,4038,Trikotageassistent,30,555065,3020,353,0723,156,3,30557010,Dansk
4095,"Konfektionsassistent, tekstil",30,555065,3020,353,0723,3,1,132,2,2,30557010,24,0,4053,Konfektionsassistent,30,555065,3020,353,0723,156,3,30557010,Dansk
4096,Kvalitets- og måletekniker,50,555055,4010,554,0722,4,10,150,1,1,40585020,18,0,4096,Kvalitets- og måletekniker,50,555055,4010,554,0722,168,3,40585020,Dansk
4096,Kvalitets- og måletekniker,50,555055,4010,554,0722,4,10,150,1,1,40585020,18,0,4096,Kvalitets- og måletekniker,50,555055,4010,554,0722,168,3,40585020,Dansk
4097,Miljøtekniker,50,552510,4010,554,0712,4,10,156,1,1,40583510,24,1,4097,Miljøtekniker,50,552510,4010,554,0712,174,3,40583510,Dansk
4098,Levnedsmiddelassistent,30,702515,3020,353,1013,3,1,132,2,2,30203010,24,0,4098,Levnedsmiddelassistent,30,702515,3020,353,1013,156,3,30203010,Dansk
4102,"Skibsteknik og Marin konstruktion, prof.bach",60,574030,5510,655,0716,4,10,156,1,1,50583015,42,1,4102,"Skibsteknik og Marin konstruktion, prof.bach",60,574030,5510,655,0716,198,3,50583015,Dansk
4103,Støberitekniker,30,573025,3020,354,0715,3,1,132,2,4,30554010,6,1,3598,Afsluttet grundforløb,30,555111,3010,351,0001,126,5,30911111,Dansk
4103,Støberitekniker,30,573025,3020,354,0715,3,1,132,2,4,30554010,36,1,4103,Støberitekniker una,30,573025,3020,353,0715,158,3,30554010,Dansk
4103,Støberitekniker,30,573025,3020,354,0715,3,1,132,2,4,30554010,36,1,4117,Støberitekniker,30,573025,3020,354,0715,168,3,30554010,Dansk
4103,Støberitekniker,30,573025,3020,354,0715,3,1,132,2,4,30554010,18,1,4118,Støberiassistent,30,573025,3020,353,0715,150,3,30554010,Dansk
