SEKVENS;KODE;NIVEAU;TITEL;GENERELLE_NOTER;INKLUDERER;INKLUDERER_OGSÅ;EKSKLUDERER;PARAGRAF;MÅLEENHED
4247;"3102";5;Matrikulær informatik, master;;;;;;
4248;"3130";5;Miljø- og arbejdsmiljøledelse, master;;;;;;
4249;"3167";5;Tourism management, kand.2år;;;;;;
4250;"3201";5;Virksomhedsledelse, kand.2år;;;;;;
4251;"3202";5;Business Administration, kand.2år;;;;;;
4252;"3229";5;Virksomhedsstudier, kand.2år;;;;;;
4253;"3235";5;Business studies, kand.2år;;;;;;
4254;"5708";5;Revisorkandidat, kand.2år;;;;;;
4255;"5737";5;Service management, kand.2år;;;;;;
4256;"5752";5;Public administration (MPA), master;;;;;;
4257;"5753";5;Public management (MPM), master;;;;;;
4258;"5756";5;Technology management (MTM), master;;;;;;
4259;"5779";5;Human resource management, kand.2år;;;;;;
4260;"5784";5;Politisk kommunikation og ledelse, kand.2år;;;;;;
4261;"5788";5;Management creative business processes, kand.2år;;;;;;
4262;"5789";5;Organisation, innovation og entrepreneurship, kand.2år;;;;;;
4263;"6110";5;Forvaltning, kand.2år;;;;;;
4264;"6113";5;Offentlig driftsøkonomi, kand.2år (RUC);;;;;;
4265;"6141";5;Politik og Administration, kand.2år;;;;;;
4266;"6150";5;Virksomhedsstudier, kand.2år;;;;;;
4267;"6455";5;Turisme, kand.2år;;;;;;
4268;"6862";5;Designledelse, kand.2år;;;;;;
4269;"6930";5;Virksomhedsledelse, kand.2år;;;;;;
4270;"6942";5;Offentlig ledelse og social udvikling (SDC), kand.2år;;;;;;
4271;"7115";5;Forvaltning og datalogi, kand.;;;;;;
4272;"7136";5;By, bolig og bosætning, kand.2år;;;;;;
4273;"7143";5;Sikkerheds- og risikoledelse, kand.2år;;;;;;
4274;"8350";5;IT-ledelse, kand.2år;;;;;;
4275;"8843";5;Public quality management, master;;;;;;
4276;"8844";5;Skat, master;;;;;;
4277;"8845";5;Skat, master;;;;;;
4278;"8846";5;Oplevelsesledelse (MOL), master;;;;;;
4279;"8849";5;Ledelsesudvikling, master;;;;;;
4280;"8850";5;Offentlig administration (MPA), master;;;;;;
4281;"8852";5;Corporate communication, master;;;;;;
4282;"8853";5;Konfliktmægling, master;;;;;;
4283;"8854";5;Organisationspsykologi, master;;;;;;
4284;"8855";5;Offentlig organisation og ledelse (MPM), master;;;;;;
4285;"8857";5;Humanistisk organisationsudvikling, master;;;;;;
4286;"8861";5;Knowledge management, master;;;;;;
4287;"8868";5;Technology management (MTM), master;;;;;;
4288;"8898";5;Internat. entrepreneurship, education, training (IMEET), master;;;;;;
4289;"8911";5;Teknologiledelse (MMT), master;;;;;;
4290;"8916";5;Public governance (MPG), master;;;;;;
4291;"8927";5;Positiv psykologi, master;;;;;;
4292;"8931";5;Offentlig ledelse (MPG), master;;;;;;
4293;"8937";5;Videregående uddannelse og forskning, master;;;;;;
4294;"8940";5;Finansiel management, master;;;;;;
4295;"8953";5;It-ledelse, master;;;;;;
4296;"8956";5;Projekt- og innovationsledelse, master;;;;;;
4297;"8971";5;Ledelse af uddannelsesinstitutioner, master;;;;;;
4298;"8974";5;Leadership-innovation in complex systems (LAICS), master;;;;;;
4299;"8978";5;Projekt- og forandringsledelse, master;;;;;;
4300;"9225";5;Statsautoriseret revisor;;;;;;
4301;"703920";3;Antropologi, LVU;;;;;;
4302;"70392010";4;Antropologi, LVU;;;;;;
4303;"3193";5;Antropologi, kand.2år;;;;;;
4304;"3194";5;Anthropology, kand.2år;;;;;;
4305;"6306";5;Etnografi og antropologi, kand.;;;;;;
4306;"6408";5;Antropologi, kand.2år;;;;;;
4307;"6716";5;Anthropology and people centred business, kand.2år;;;;;;
4308;"7320";5;Etnografi og antropologi, kand.;;;;;;
4309;"7336";5;Antropologi, kand.2år;;;;;;
4310;"8888";5;Antropologi og velfærd, master;;;;;;
4311;"703925";3;Globalisering og internationale samfundsstudier, LVU;;;;;;
4312;"70392510";4;Globalisering og internationale samfundsstudier, LVU;;;;;;
4313;"3191";5;Globale studier, kand.2år;;;;;;
4314;"3192";5;Global Studies, kand.2år;;;;;;
4315;"3213";5;Internationale udviklingsstudier, kand.2år;;;;;;
4316;"3214";5;International Development Studies, kand.2år;;;;;;
4317;"5285";5;Nordisk urban planlægning, kand.2år;;;;;;
4318;"6118";5;Globale studier, kand.2år;;;;;;
4319;"6119";5;Globale studier, kombination (RUC);;;;;;
4320;"6144";5;Internationale udviklingsstudier, kand.2år;;;;;;
4321;"6158";5;Global udvikling, kand.2år;;;;;;
4322;"7079";5;International ret, økonomi og ledelse, kand.2år;;;;;;
