SEKVENS;KODE;NIVEAU;TITEL;GENERELLE_NOTER;INKLUDERER;INKLUDERER_OGSÅ;EKSKLUDERER;PARAGRAF;MÅLEENHED
188;"2310";4;Undervisning og forskning på universiteter og højere læreanstalter;;;;;;
189;"231010";5;Undervisning og forskning ved lange videregående uddannelser;;;;;;
190;"231020";5;Undervisning og forskning ved mellemlange videregående uddannelser;;;;;;
191;"231030";5;Undervisning og forskning ved korte videregående uddannelser;;;;;;
192;"232";3;Undervisning ved erhvervsuddannelser;;;;;;
193;"2320";4;Undervisning ved erhvervsuddannelser;;;;;;
194;"232010";5;Undervisning ved erhvervsuddannelser for unge;;;;;;
195;"232020";5;Undervisning ved arbejdsmarkedsuddannelser;;;;;;
196;"232030";5;Undervisning ved voksenerhvervsuddannelser;;;;;;
197;"233";3;Almen undervisning efter grundskoleniveau;;;;;;
198;"2330";4;Almen undervisning efter grundskoleniveau;;;;;;
199;"233010";5;Undervisning på gymnasialt niveau;;;;;;
200;"233020";5;Undervisning ved øvrige almene uddannelser efter grundskoleniveau;;;;;;
201;"234";3;Undervisning og pædagogisk arbejde;;;;;;
202;"2341";4;Undervisning på grundskoleniveau (inkl. 10. klasse);;;;;;
203;"234110";5;Undervisning på grundskoleniveau, unge og voksne;;;;;;
204;"234120";5;Undervisning på grundskoleniveau, (børn, 1.-10. klasse);;;;;;
205;"234130";5;Undervisning på grundskoleniveau, børnehaveklasseniveau;;;;;;
206;"2342";4;Undervisning før grundskoleniveau;;;;;;
207;"234200";5;Undervisning før grundskoleniveau;;;;;;
208;"2343";4;Pædagogisk arbejde;;;;;;
209;"234310";5;Pædagogisk arbejde med unge og voksne;;;;;;
210;"234320";5;Pædagogisk arbejde, fritidsklubber/legepladser;;;;;;
211;"234330";5;Pædagogisk arbejde i skolefritidsordninger/fritidshjem og på skoler;;;;;;
212;"234340";5;Pædagogisk arbejde, førskolebørn;;;;;;
213;"234390";5;Andet pædagogisk arbejde;;;;;;
214;"235";3;Andet undervisnings- og pædagogisk arbejde;;;;;;
215;"2351";4;Forskning, udvikling og rådgivning inden for undervisningsmetoder;;;;;;
216;"235100";5;Forskning, udvikling og rådgivning inden for undervisningsmetoder;;;;;;
217;"2352";4;Specialundervisning;;;;;;
218;"235210";5;Specialundervisning, unge og voksne;;;;;;
219;"235220";5;Specialundervisning på grundskoleniveau (1.-10. klasse);;;;;;
220;"235230";5;Specialundervisning på børnehaveklasseniveau;;;;;;
221;"2353";4;Anden sprogundervisning;;;;;;
222;"235300";5;Anden sprogundervisning;;;;;;
223;"2354";4;Anden musik- og sangundervisning;;;;;;
224;"235400";5;Anden musik- og sangundervisning;;;;;;
225;"2355";4;Anden undervisning inden for kreative fag;;;;;;
226;"235500";5;Anden undervisning inden for kreative fag;;;;;;
227;"2356";4;Anden undervisning inden for informationsteknologi;;;;;;
228;"235600";5;Anden undervisning inden for informationsteknologi;;;;;;
229;"2357";4;Specialpædagogisk arbejde;;;;;;
230;"235710";5;Specialpædagogisk arbejde, ældre og handicappede;;;;;;
231;"235720";5;Specialpædagogisk arbejde, aktivering mv.;;;;;;
232;"235730";5;Specialpædagogisk arbejde, rådgivning af voksne;;;;;;
233;"235740";5;Specialpædagogisk arbejde, kontakt med- og ledsagning af voksne;;;;;;
234;"235750";5;Specialpædagogisk arbejde, børn og unge;;;;;;
235;"235760";5;Specialpædagogisk arbejde, førskolebørn;;;;;;
236;"235790";5;Andet specialpædagogisk arbejde;;;;;;
237;"2359";4;Undervisnings- og pædagogisk arbejde ikke klassificeret andetsteds;;;;;;
238;"235910";5;Undervisningsarbejde ikke klassificeret andetsteds (ekskl. medhjælp);;;;;;
239;"235920";5;Pædagogisk arbejde ikke klassificeret andetsteds (ekskl. medhjælp);;;;;;
240;"24";2;Arbejde inden for økonomi, administration og salg;;;;;;
241;"241";3;Arbejde inden for finans og økonomi;;;;;;
242;"2411";4;Revisions- og regnskabscontrollerarbejde;;;;;;
243;"241100";5;Revisions- og regnskabscontrollerarbejde;;;;;;
244;"2412";4;Rådgivning inden for finans, forsikring og investering;;;;;;
245;"241210";5;Rådgivning af storkunder og private banking kunder inden for finans og forsikring;;;;;;
246;"241220";5;Generel rådgivning af erhvervskunder inden for finans og forsikring;;;;;;
247;"241230";5;Generel rådgivning af privatkunder inden for finans og forsikring;;;;;;
248;"241240";5;Rådgivning inden for specialområde som investering, valuta og formue;;;;;;
249;"2413";4;Arbejde med analyse, produktudvikling- og vedligeholdelse inden for finans og forsikring;;;;;;
250;"241310";5;Analytikerarbejde inden for finans og forsikring;;;;;;
251;"241320";5;Arbejde med udvikling og vedligeholdelse af bank- og forsikringsprodukter;;;;;;
252;"242";3;Arbejde inden for virksomhedsadministration – privat og offentlig;;;;;;
253;"2421";4;Analytikerarbejde inden for ledelse og virksomhedsorganisation;;;;;;
254;"242100";5;Analytikerarbejde inden for ledelse og virksomhedsorganisation;;;;;;
